,price
0,58.73186439300938
1,389.64417876881
2,335.504062993658
3,63.879181182111566
4,56.66382522215983
5,90.03536957845198
6,276.3936003275997
7,52.99782741469145
8,94.43942715890763
9,155.41570179555595
10,70.38914497468946
11,182.44233282146823
12,242.6352674878048
13,49.81840326998769
14,78.36605141657557
15,286.766903624725
16,32.68446115495401
17,57.73901411895424
18,43.04574983735281
19,256.5409077568537
20,44.11540367257327
21,121.4077624107387
22,34.7441910676458
23,74.21817667010646
24,117.6304462951505
25,191.61013153662196
26,117.85984375475005
27,66.93636066369365
28,67.33091900383502
29,125.26054765941596
30,60.192616322631764
31,84.83469889676009
32,46.29831911097546
33,292.86872506291473
34,34.36286209356021
35,110.29846891593826
36,727.0841172302296
37,49.096088955295386
38,95.33498658915597
39,73.05707150506584
40,139.838299241954
41,213.33287264136376
42,100.42670183964397
43,46.88973635515116
44,112.56958807325576
45,79.55250776285506
46,47.82746932075885
47,41.26682817834282
48,47.571689037128856
49,280.9034228730141
50,133.94481487253665
51,108.25400406271217
52,57.13159871768095
53,111.27809778771771
54,44.93658620109779
55,43.075558700350925
56,330.9501840197794
57,158.90942118496383
58,105.69511776354781
59,59.91532973108836
60,121.9964449056417
61,57.214167996671954
62,56.66382522215983
63,87.59321043634313
64,83.15572243184462
65,54.379727783064645
66,41.40477534415199
67,212.12030749877212
68,65.1616914682449
69,67.35603308544958
70,139.03066166949193
71,91.77655328292654
72,168.2350598703905
73,75.3497120448583
74,122.875281861095
75,48.817569024441404
76,64.7389512559091
77,71.36485119795613
78,373.10595262756584
79,116.21814501882527
80,56.024296006466514
81,82.535514099379
82,50.791480562558874
83,63.23013760265929
84,148.02407566191602
85,65.45032521854117
86,45.838388411292705
87,45.592945260325955
88,181.66072420217623
89,76.14290745384457
90,47.16582074099525
91,42.068954790117935
92,56.010416176650665
93,51.0452490186742
94,350.6051567396495
95,61.0015061202196
96,36.10206674518663
97,70.27648673419554
98,110.18596845164745
99,112.95280785713204
100,113.12522227585602
101,42.12334202582794
102,55.052682476040495
103,70.42038862885956
104,45.95640423992703
105,84.39213410936526
106,140.1636386723581
107,68.79657957056206
108,91.0491964518716
109,82.43038784265512
110,54.513020571839384
111,56.84717112919909
112,100.58244799716635
113,130.92406012055352
114,93.76743315468089
115,63.93143563947828
116,80.64950870038469
117,32.84656809910656
118,58.12864797459871
119,47.60728394746913
120,38.74506439908031
121,122.05680574455734
122,45.129677079932456
123,80.48999485153465
124,57.29869693429916
125,210.6230726517219
126,368.27516642595646
127,180.90511307373964
128,49.13509965750008
129,405.4934233669394
130,41.19952217899961
131,98.29204867964472
132,340.9254275288549
133,120.27677051970295
134,87.28661847482431
135,181.66072420217623
136,608.6875110453763
137,195.82163515575442
138,56.02886869078244
139,50.791480562558874
140,24.602206120842254
141,28.218693595980124
142,185.94969415740897
143,77.19590186877545
144,70.46244074708366
145,52.678403249256036
146,141.48817387984818
147,87.59321043634313
148,111.31998759577128
149,72.72679913363781
150,110.77342495275619
151,13.668937497119696
152,101.49082771422871
153,52.80662762904901
154,47.45714960826347
155,34.89222367590917
156,181.47778280515547
157,179.6209843325896
158,161.98581939136386
159,64.70645942034469
160,51.59703358815811
161,192.14656686439503
162,92.27453381293796
163,41.222150729012654
164,71.95570268086433
165,167.78918892599793
166,95.23946531608608
167,81.16730583943391
168,116.91503897317425
169,57.0726911087191
170,88.95345795813132
171,57.721205348069766
172,54.513020571839384
173,85.75711198295257
174,221.50288182581434
175,103.28531050749505
176,39.73676292709009
177,51.16298981653247
178,261.93407028764153
179,82.2143470978251
180,37.94398216840857
181,246.8244394229335
182,117.05403656589117
183,119.47702290707969
184,187.7166337993961
185,127.71238060273306
186,120.05449530693916
187,39.396435731886726
188,36.099944247876614
189,90.6548685634378
190,119.73725446205032
191,293.7435643678562
192,47.72699516229826
193,44.50678667152251
194,120.23658202516762
195,96.67394295774521
196,73.37121856782225
197,57.73901411895424
198,78.00027707830654
199,140.6586063980439
200,113.2472658905625
201,44.72622045654646
202,27.551928775595517
203,58.66888356523664
204,57.89199553895762
205,210.01116872837326
206,115.36736832459518
207,184.8835258767157
208,29.357411082768138
209,47.81450024157799
210,297.3583955970146
211,214.98729855706858
212,87.39177653310293
213,59.3094392349207
214,387.03941296070934
215,29.357411082768138
216,53.98139424205744
217,85.68854759559113
218,44.1786645177954
219,196.39054467719905
220,120.66021869180568
221,44.99541623726968
222,179.68991980103434
223,78.73682623862767
